2025-05-07 14:20:08.697 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.4.1 with PID 19264 (E:\my_project\tlias\tlias-web-management\target\classes started by forwardSun in E:\my_project\tlias)
2025-05-07 16:14:45.905 [http-nio-8080-exec-10] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 16:28:08.126 [http-nio-8080-exec-1] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 16:28:08.132 [http-nio-8080-exec-5] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 16:31:06.783 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 16:31:06.786 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 16:31:18.515 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 16:31:18.515 [http-nio-8080-exec-6] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 16:31:21.556 [http-nio-8080-exec-8] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 16:31:21.561 [http-nio-8080-exec-4] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 16:31:30.376 [http-nio-8080-exec-9] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=李, gender=null, begin=null, end=null)
2025-05-07 16:31:40.321 [http-nio-8080-exec-10] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 16:31:55.410 [http-nio-8080-exec-5] INFO  com.itheima.controller.EmpController-根据ID查询员工信息: 30
2025-05-07 21:56:21.705 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.4.1 with PID 25584 (E:\my_project\tlias\tlias-web-management\target\classes started by forwardSun in E:\my_project\tlias)
2025-05-07 21:56:21.707 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-05-07 21:56:22.565 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-05-07 21:56:22.574 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-05-07 21:56:22.576 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-05-07 21:56:22.576 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.30]
2025-05-07 21:56:22.611 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-05-07 21:56:22.611 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 877 ms
2025-05-07 21:56:23.188 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-05-07 21:56:23.200 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path ''
2025-05-07 21:56:23.206 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.762 seconds (process running for 7.076)
2025-05-07 21:56:28.470 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-07 21:56:28.470 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-05-07 21:56:28.471 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-05-07 21:56:28.539 [http-nio-8080-exec-1] INFO  com.itheima.controller.LoginController-登录: Emp(id=null, username=songjiang, password=123, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-05-07 21:56:28.555 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-05-07 21:56:28.838 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@17836678
2025-05-07 21:56:28.839 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-05-07 21:56:35.417 [http-nio-8080-exec-4] INFO  com.itheima.controller.LoginController-登录: Emp(id=null, username=songjiang, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-05-07 21:56:35.429 [http-nio-8080-exec-4] INFO  com.itheima.service.impl.EmpServiceImpl-登录成功, 员工信息: Emp(id=2, username=songjiang, password=null, name=宋江, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-05-07 22:00:59.011 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-05-07 22:00:59.017 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-05-07 22:01:01.685 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.4.1 with PID 32544 (E:\my_project\tlias\tlias-web-management\target\classes started by forwardSun in E:\my_project\tlias)
2025-05-07 22:01:01.687 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-05-07 22:01:02.374 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-05-07 22:01:02.384 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-05-07 22:01:02.386 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-05-07 22:01:02.386 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.30]
2025-05-07 22:01:02.423 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-05-07 22:01:02.423 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 715 ms
2025-05-07 22:01:02.932 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-05-07 22:01:02.945 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path ''
2025-05-07 22:01:02.951 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.481 seconds (process running for 1.953)
2025-05-07 22:01:10.154 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-07 22:01:10.154 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-05-07 22:01:10.154 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 0 ms
2025-05-07 22:01:10.212 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:01:10.212 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌为空, 响应401
2025-05-07 22:01:10.212 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:04:01.961 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:04:01.961 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.TokenInterceptor-令牌为空, 响应401
2025-05-07 22:04:01.961 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:05:45.959 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:05:46.010 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-05-07 22:05:46.018 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 22:05:46.030 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-05-07 22:05:46.278 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@35c7b7d2
2025-05-07 22:05:46.279 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-05-07 22:05:46.364 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.DemoInterceptor-postHandle ....
2025-05-07 22:05:46.364 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:05:58.770 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:05:58.770 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.TokenInterceptor-令牌为空, 响应401
2025-05-07 22:05:58.770 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:06:00.132 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:00.132 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.TokenInterceptor-令牌为空, 响应401
2025-05-07 22:06:00.132 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:06:00.133 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:00.133 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.TokenInterceptor-令牌为空, 响应401
2025-05-07 22:06:00.133 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:06:31.134 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:31.135 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-05-07 22:06:31.135 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 22:06:31.142 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.DemoInterceptor-postHandle ....
2025-05-07 22:06:31.142 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:06:32.144 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:32.144 [http-nio-8080-exec-10] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:32.146 [http-nio-8080-exec-10] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-05-07 22:06:32.146 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-05-07 22:06:32.146 [http-nio-8080-exec-9] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-05-07 22:06:32.155 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.DemoInterceptor-postHandle ....
2025-05-07 22:06:32.155 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:06:32.162 [http-nio-8080-exec-10] INFO  com.itheima.controller.EmpController-分页查询: EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-05-07 22:06:32.227 [http-nio-8080-exec-10] INFO  com.itheima.interceptor.DemoInterceptor-postHandle ....
2025-05-07 22:06:32.227 [http-nio-8080-exec-10] INFO  com.itheima.interceptor.DemoInterceptor-afterCompletion ....
2025-05-07 22:06:36.597 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:36.597 [http-nio-8080-exec-8] INFO  com.itheima.interceptor.DemoInterceptor-preHandle ....
2025-05-07 22:06:36.598 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-05-07 22:06:36.598 [http-nio-8080-exec-8] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
